categoria,pregunta,respuesta,area_responsable,documento_relacionado,palabras_clave
Onboarding,¿Qué documentos debo leer durante mi primera semana?,"Debes revisar el Manual de Bienvenida y Onboarding, la Política de Seguridad y Protección de Datos, la Metodología para la Gestión de Proyectos y la Política de Calidad. Tu líder puede asignarte documentos adicionales según tu rol.",Recursos Humanos,Manual de Bienvenida y Onboarding,"onboarding,documentos,primera semana"
Onboarding,¿Quién me acompaña durante el onboarding?,"Durante tu incorporación contarás con una persona líder, un buddy de acompañamiento y el apoyo de Recursos Humanos y Soporte Técnico.",Recursos Humanos,Manual de Bienvenida y Onboarding,"buddy,líder,acompañamiento"
Onboarding,¿Qué se espera de mí durante los primeros días?,"Se espera que conozcas la empresa, actives tus accesos, completes las capacitaciones obligatorias, hagas preguntas y realices una primera tarea guiada. No se espera que trabajes a máxima velocidad desde el primer día.",Recursos Humanos,Manual de Bienvenida y Onboarding,"primeros días,expectativas,tarea guiada"
Onboarding,¿Qué debo hacer si no recibí todos mis accesos?,"Comunícalo a tu líder y registra una solicitud en la Mesa de Soporte indicando tu rol, las herramientas faltantes y la fecha en que las necesitas.",Tecnología y Soporte,Manual de Herramientas Tecnológicas,"accesos faltantes,soporte,onboarding"
Onboarding,¿Cuál es el propósito de NexoData Consulting?,"NexoData busca conectar datos, personas y tecnología para crear soluciones que transformen realidades y ayuden a las organizaciones a tomar mejores decisiones.",Dirección General,Manual de Bienvenida y Onboarding,"propósito,empresa,identidad"
Onboarding,¿Cuáles son los valores de la empresa?,"Los valores principales son impacto con propósito, innovación, calidad, ética, seguridad, colaboración, transparencia, aprendizaje continuo, humanidad y orientación al cliente.",Recursos Humanos,Manual de Bienvenida y Onboarding,"valores,cultura,empresa"
Onboarding,¿Qué servicios ofrece NexoData?,"NexoData ofrece análisis de datos, Business Intelligence, automatización de procesos e inteligencia artificial.",Consultoría y Gestión de Proyectos,Catálogo de Servicios Corporativos,"servicios,análisis,bi,automatización,ia"
Onboarding,¿Qué hago si tengo dudas sobre mi rol?,Habla primero con tu líder o buddy. También puedes consultar el Manual de Bienvenida y la estructura organizacional para entender responsabilidades y áreas relacionadas.,Recursos Humanos,Manual de Bienvenida y Onboarding,"rol,dudas,buddy"
Horarios y modalidad,¿Cuál es el horario de referencia?,"El horario de referencia es de lunes a viernes, de 08:30 a 17:30, con una hora de descanso. Puede ajustarse según el proyecto y las reuniones previamente coordinadas.",Recursos Humanos,Manual de Bienvenida y Onboarding,"horario,jornada,trabajo"
Horarios y modalidad,¿La modalidad de trabajo es presencial o remota?,"La modalidad general es híbrida y flexible, de acuerdo con las necesidades del proyecto y del equipo.",Recursos Humanos,Manual de Bienvenida y Onboarding,"híbrido,remoto,presencial"
Horarios y modalidad,¿Puedo trabajar desde cualquier lugar?,"El trabajo remoto debe realizarse desde un espacio seguro, con conexión estable y usando cuentas y dispositivos autorizados. Evita lugares públicos cuando manejes información sensible.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"trabajo remoto,seguridad,ubicación"
Horarios y modalidad,¿Qué hago si debo ausentarme durante el horario laboral?,Debes avisar a tu líder con anticipación y seguir el procedimiento interno de permisos. También debes asegurar que las tareas urgentes queden cubiertas.,Recursos Humanos,Manual de Bienvenida y Onboarding,"ausencia,permiso,horario"
Vacaciones y permisos,¿Cómo solicito vacaciones?,Solicita las vacaciones por el canal definido por Recursos Humanos y coordina las fechas con tu líder. Debes dejar organizadas tus tareas y comunicar cualquier entrega que pueda verse afectada.,Recursos Humanos,Manual de Bienvenida y Onboarding,"vacaciones,solicitud,rrhh"
Vacaciones y permisos,¿Puedo tomar vacaciones sin aprobación?,No. Las fechas deben ser aprobadas por tu líder y registradas por Recursos Humanos antes de ausentarte.,Recursos Humanos,Manual de Bienvenida y Onboarding,"vacaciones,aprobación"
Vacaciones y permisos,¿Cómo solicito un permiso personal?,"Informa a tu líder y registra la solicitud según el procedimiento de Recursos Humanos. Indica la fecha, duración y cualquier impacto sobre tus tareas.",Recursos Humanos,Manual de Bienvenida y Onboarding,"permiso personal,solicitud"
Vacaciones y permisos,¿Qué hago si tengo una emergencia y no puedo avisar con anticipación?,Comunícate tan pronto como sea posible con tu líder o Recursos Humanos y explica la situación. La prioridad es tu seguridad; después se regularizará el registro correspondiente.,Recursos Humanos,Manual de Bienvenida y Onboarding,"emergencia,ausencia,rrhh"
Herramientas tecnológicas,¿Qué herramienta usamos para crear dashboards?,Power BI es la herramienta principal para dashboards corporativos. Tableau también puede utilizarse cuando exista licencia y aprobación.,Business Intelligence,Manual de Herramientas Tecnológicas,"dashboard,power bi,tableau"
Herramientas tecnológicas,¿Qué herramienta usamos para análisis estadístico?,"Python y R están aprobados para análisis estadístico, modelado y visualización. La elección depende del proyecto y del equipo.",Análisis de Datos,Manual de Herramientas Tecnológicas,"python,r,estadística"
Herramientas tecnológicas,¿Qué herramienta usamos para gestionar código?,"GitHub es la herramienta aprobada para repositorios, historial de cambios, pull requests e incidencias técnicas.",Tecnología,Manual de Herramientas Tecnológicas,"github,código,repositorio"
Herramientas tecnológicas,¿Puedo instalar cualquier extensión en Visual Studio Code?,"No. Debes instalar únicamente extensiones confiables y aprobadas, especialmente cuando trabajes con código o datos de clientes.",Tecnología y Soporte,Manual de Herramientas Tecnológicas,"vscode,extensiones,seguridad"
Herramientas tecnológicas,¿Puedo usar Google Colab con datos confidenciales?,No. Google Colab solo está aprobado para prototipos con datos públicos o internos no sensibles. Los datos de clientes o restringidos deben permanecer en entornos autorizados.,Seguridad de la Información,Manual de Herramientas Tecnológicas,"colab,datos confidenciales,restricción"
Herramientas tecnológicas,¿Para qué se usa ChromaDB?,ChromaDB se utiliza como base vectorial para almacenar embeddings y recuperar fragmentos documentales en soluciones RAG.,Inteligencia Artificial,Manual de Herramientas Tecnológicas,"chromadb,embeddings,rag"
Herramientas tecnológicas,¿Para qué se usa LangChain?,"LangChain se utiliza para organizar cargadores de documentos, recuperación, prompts y flujos de agentes o aplicaciones RAG.",Inteligencia Artificial,Manual de Herramientas Tecnológicas,"langchain,rag,agentes"
Herramientas tecnológicas,¿Qué herramienta usamos para desplegar Sol AI?,"Sol AI se desplegará en Oracle Cloud Infrastructure, usando una instancia de OCI Compute para ejecutar la aplicación.",Tecnología e Infraestructura,Manual de Herramientas Tecnológicas,"oci,deploy,compute"
Herramientas tecnológicas,¿Cómo solicito una herramienta nueva?,"Debes completar el formulario de evaluación tecnológica indicando propósito, proveedor, datos tratados, costo y necesidad del proyecto.",Tecnología y Seguridad,Manual de Herramientas Tecnológicas,"software nuevo,evaluación,herramienta"
Accesos y contraseñas,¿Qué hago si olvidé mi contraseña?,Utiliza el proceso oficial de recuperación o contacta a la Mesa de Soporte. Nunca solicites ni compartas contraseñas por chat.,Tecnología y Soporte,Manual de Herramientas Tecnológicas,"contraseña,recuperación,soporte"
Accesos y contraseñas,¿Puedo compartir mi cuenta con un compañero?,"No. Las cuentas son individuales e intransferibles. Si otra persona necesita acceso, debe solicitarlo formalmente.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"cuenta,compartir,credenciales"
Accesos y contraseñas,¿Es obligatorio usar autenticación multifactor?,"Sí, en todas las herramientas que la permitan y especialmente en servicios de nube, repositorios y gestores de secretos.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"mfa,autenticación,seguridad"
Accesos y contraseñas,¿Quién aprueba un acceso a OCI?,"El acceso a OCI requiere aprobación de Infraestructura y Seguridad, con una justificación, nivel mínimo de privilegio y vigencia definida.",Tecnología e Infraestructura,Manual de Herramientas Tecnológicas,"oci,acceso,aprobación"
Accesos y contraseñas,¿Cada cuánto se revisan los permisos?,"La frecuencia depende del recurso. Los accesos sensibles suelen revisarse trimestralmente y otros accesos, semestralmente o cuando cambia el rol.",Seguridad de la Información,Manual de Herramientas Tecnológicas,"permisos,revisión,accesos"
Accesos y contraseñas,¿Qué hago si recibo una solicitud de MFA que no inicié?,No la apruebes. Cambia tu contraseña y reporta de inmediato el evento al canal de Seguridad.,Seguridad de la Información,Política de Seguridad y Protección de Datos,"mfa,sospechoso,incidente"
Seguridad de la información,¿Puedo enviar archivos al correo personal?,"No. La información interna y de clientes debe mantenerse en cuentas, equipos y repositorios corporativos.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"correo personal,archivos,prohibido"
Seguridad de la información,¿Cómo se clasifica la información?,"La información se clasifica como pública, interna, confidencial o restringida, según su sensibilidad y el impacto de una exposición.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"clasificación,pública,confidencial,restringida"
Seguridad de la información,¿Puedo crear un enlace público de Google Drive?,"No para información interna, confidencial o restringida. Debes aplicar permisos específicos a las personas autorizadas.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"drive,enlace público,permisos"
Seguridad de la información,¿Qué hago si pierdo mi computadora?,"Repórtalo de inmediato por el canal de Seguridad y la Mesa de Soporte, indicando lugar, hora y último acceso conocido. No intentes ocultar la pérdida.",Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"computadora perdida,robo,incidente"
Seguridad de la información,¿Puedo usar una memoria USB?,Solo si el dispositivo está aprobado y es necesario para una actividad autorizada. Evita usar almacenamiento externo con información sensible.,Seguridad de la Información,Política de Seguridad y Protección de Datos,"usb,almacenamiento externo"
Seguridad de la información,¿Qué hago si envié un archivo a la persona equivocada?,Repórtalo inmediatamente a Seguridad y a tu líder. No elimines evidencias ni intentes resolverlo en silencio.,Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"envío incorrecto,archivo,incidente"
Uso de inteligencia artificial,¿Puedo usar ChatGPT o Gemini con datos de clientes?,"No en herramientas públicas ni sin autorización. Solo pueden utilizarse servicios aprobados y contexto autorizado, sin exponer datos personales, contratos, credenciales o información restringida.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"chatgpt,gemini,datos clientes"
Uso de inteligencia artificial,¿Debo validar una respuesta generada por IA?,"Sí. Todo contenido generado debe revisarse antes de incorporarlo a una decisión, análisis o entregable.",Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"validar ia,respuesta,calidad"
Uso de inteligencia artificial,¿Puedo guardar una API key dentro del código?,No. Las claves deben guardarse en variables de entorno o gestores de secretos y nunca subirse a GitHub.,Seguridad de la Información,Manual de Herramientas Tecnológicas,"api key,env,secreto"
Uso de inteligencia artificial,¿Qué hago si un modelo de IA responde algo incorrecto?,"Registra la pregunta, el contexto, la respuesta, la versión del modelo y el impacto observado. Luego repórtalo al equipo de IA para evaluación.",Inteligencia Artificial,Protocolo de Incidentes Técnicos y de Seguridad,"ia,error,respuesta incorrecta"
Uso de inteligencia artificial,¿Qué significa que Sol AI usa RAG?,Significa que primero recupera fragmentos relevantes de los documentos internos y luego redacta la respuesta usando ese contexto.,Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"rag,retrieval,sol ai"
Uso de inteligencia artificial,¿Qué debe hacer Sol AI si no encuentra información?,Debe decir con honestidad que no encontró información suficiente y recomendar consultar al área responsable o reformular la pregunta.,Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"sin respuesta,no inventar"
Gestión de proyectos,¿Qué debe hacerse antes de iniciar el desarrollo?,"Deben estar definidos el problema, alcance, requerimientos, criterios de aceptación, responsables, riesgos y cronograma.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"inicio proyecto,requerimientos,alcance"
Gestión de proyectos,¿Quién aprueba un cambio de alcance?,"El cliente o área solicitante y el Project Manager deben aprobarlo después de evaluar impacto en tiempo, recursos, riesgos y entregables.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"cambio alcance,aprobación"
Gestión de proyectos,¿Qué pasa si el cliente pide algo fuera del alcance?,"Se registra como solicitud de cambio, se evalúa su impacto y no se implementa hasta recibir aprobación formal.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"fuera alcance,cambio"
Gestión de proyectos,¿Qué reuniones son obligatorias?,"Como mínimo se realiza un kick-off, seguimientos según la complejidad, revisiones de entregables y una reunión de cierre o retrospectiva.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"reuniones,kickoff,seguimiento"
Gestión de proyectos,¿Cuándo se considera cerrado un proyecto?,"Cuando los entregables fueron aprobados, la documentación fue transferida, los accesos temporales se retiraron y existe un acta de cierre.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"cierre proyecto,acta"
Gestión de proyectos,¿Qué hago si aparece un riesgo crítico?,"Detén la actividad afectada cuando corresponda, informa al Project Manager y activa el procedimiento de escalamiento definido.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"riesgo crítico,escalamiento"
Calidad,¿Qué debe revisarse antes de entregar un dashboard?,"Deben revisarse las fuentes, relaciones, medidas, indicadores, filtros, visuales, navegación, rendimiento, permisos y documentación.",Calidad,Política de Calidad y Revisión de Entregables,"dashboard,checklist,calidad"
Calidad,¿Quién aprueba un modelo de IA?,El líder técnico y Calidad validan el modelo; Seguridad participa cuando existen datos sensibles o riesgos relevantes. El área solicitante aprueba la utilidad.,Calidad,Política de Calidad y Revisión de Entregables,"modelo ia,aprobación"
Calidad,¿Puede entregarse una solución con un error crítico?,No. Un defecto crítico bloquea la entrega hasta corregirse y volver a validarse.,Calidad,Política de Calidad y Revisión de Entregables,"error crítico,bloqueo"
Calidad,¿Qué evidencias debe incluir una automatización?,"Debe incluir casos de prueba, logs, evidencia de ejecución normal, manejo de errores, reintentos y recuperación.",Calidad,Política de Calidad y Revisión de Entregables,"automatización,evidencia,pruebas"
Calidad,¿Cuándo se considera aprobado un entregable?,"Cuando cumple el alcance, no tiene defectos críticos o altos abiertos, pasó pruebas, tiene documentación y fue aprobado técnica y funcionalmente.",Calidad,Política de Calidad y Revisión de Entregables,"aprobación,entregable"
Calidad,¿Qué controles debe pasar un agente RAG?,"Debe validarse la carga de documentos, fragmentación, embeddings, recuperación, grounding, manejo de faltantes, seguridad, tono y banco de preguntas.",Calidad,Política de Calidad y Revisión de Entregables,"rag,control,chatbot"
Calidad,¿Una captura de pantalla es suficiente como evidencia?,"No siempre. Debe complementarse con archivos, logs, resultados o registros que permitan reproducir la validación.",Calidad,Política de Calidad y Revisión de Entregables,"captura,evidencia"
Incidentes técnicos,¿Cuándo un incidente es crítico?,"Es crítico cuando existe interrupción total, exposición relevante, riesgo legal o afectación a múltiples clientes o servicios esenciales.",Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"sev1,crítico,incidente"
Incidentes técnicos,¿A quién reporto un acceso sospechoso?,"Repórtalo inmediatamente al canal de Seguridad y, si afecta un proyecto, informa también a tu líder o Project Manager.",Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"acceso sospechoso,reporte"
Incidentes técnicos,¿Puedo borrar un archivo comprometido?,No antes de recibir instrucciones. Podrías eliminar evidencia importante para la investigación.,Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"borrar archivo,evidencia"
Incidentes técnicos,¿Qué información debe incluir un reporte?,"Incluye fecha y hora, persona que reporta, sistema afectado, descripción, impacto, evidencia, acciones realizadas y estado actual.",Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"reporte,campos,incidente"
Incidentes técnicos,¿Quién contacta al cliente durante un incidente?,El Project Manager o una persona autorizada. Ningún colaborador debe comunicarse por cuenta propia sobre el incidente.,Consultoría y Gestión de Proyectos,Protocolo de Incidentes Técnicos y de Seguridad,"cliente,comunicación,incidente"
Incidentes técnicos,¿Debo reportar un problema aunque ya se resolvió?,"Sí. El registro permite evaluar impacto, causas, recurrencia y acciones preventivas.",Seguridad de la Información,Protocolo de Incidentes Técnicos y de Seguridad,"problema resuelto,reporte"
Incidentes técnicos,¿Qué es un post-mortem?,"Es una revisión estructurada del incidente para reconstruir la línea de tiempo, identificar causas y definir acciones preventivas sin un enfoque punitivo.",Calidad,Protocolo de Incidentes Técnicos y de Seguridad,"postmortem,lecciones aprendidas"
Business Intelligence,¿Qué debe incluir un KPI?,"Debe tener nombre, definición, fórmula, unidad, periodo, fuente, meta, frecuencia de actualización y responsable.",Business Intelligence,Política de Calidad y Revisión de Entregables,"kpi,ficha técnica,indicador"
Business Intelligence,¿Puedo publicar un dashboard con enlace público?,"No si contiene información interna, confidencial o restringida. Deben utilizarse permisos y espacios de trabajo autorizados.",Seguridad de la Información,Manual de Herramientas Tecnológicas,"dashboard,enlace público,seguridad"
Business Intelligence,¿Dónde reporto un problema con Power BI?,"Repórtalo en el canal #bi e incluye el reporte, workspace, mensaje de error y una captura.",Business Intelligence,Manual de Herramientas Tecnológicas,"power bi,soporte,error"
Business Intelligence,¿Qué diferencia hay entre dashboard ejecutivo y operativo?,El ejecutivo resume indicadores estratégicos para decisiones de alto nivel; el operativo permite seguimiento detallado y frecuente de procesos.,Business Intelligence,Catálogo de Servicios Corporativos,"dashboard ejecutivo,operativo"
Análisis de datos,¿Qué validaciones mínimas debe tener una base?,"Debes revisar estructura, completitud, unicidad, validez, consistencia, exactitud, trazabilidad y seguridad.",Análisis de Datos,Política de Calidad y Revisión de Entregables,"validación base,calidad datos"
Análisis de datos,¿Qué hago si detecto datos incorrectos?,"Documenta el hallazgo, evita corregir sin entender la regla y consulta al propietario de la fuente. Registra cualquier transformación aplicada.",Análisis de Datos,Política de Calidad y Revisión de Entregables,"dato incorrecto,validación"
Análisis de datos,¿Puedo eliminar valores atípicos directamente?,"No sin análisis. Debes identificar su causa, evaluar su impacto y documentar la decisión de mantenerlos, transformarlos o excluirlos.",Análisis de Datos,Política de Calidad y Revisión de Entregables,"outlier,atípico"
Análisis de datos,¿Qué debe incluir un diccionario de datos?,"Debe incluir nombre del campo, descripción, tipo, formato, valores permitidos, fuente, reglas y nivel de sensibilidad.",Ingeniería de Datos,Política de Calidad y Revisión de Entregables,"diccionario datos,columnas"
Automatización,¿Qué controles debe tener una automatización?,"Debe validar entradas, manejar excepciones, registrar logs, definir reintentos, evitar duplicados, enviar alertas y permitir recuperación.",Automatización de Procesos,Política de Calidad y Revisión de Entregables,"automatización,controles"
Automatización,¿Qué significa que un proceso sea idempotente?,Significa que puede ejecutarse de nuevo sin duplicar efectos ni generar resultados inconsistentes.,Automatización de Procesos,Política de Calidad y Revisión de Entregables,"idempotencia,proceso"
Automatización,¿Qué hago si una automatización falla?,"Revisa el log, confirma el punto de falla, evita repetirla si puede duplicar efectos y reporta con evidencia al canal correspondiente.",Automatización de Procesos,Manual de Herramientas Tecnológicas,"automatización,falla,log"
Automatización,¿Cuándo conviene automatizar un proceso?,"Cuando es repetitivo, tiene reglas claras, volumen suficiente y el beneficio supera el costo y riesgo de implementación.",Automatización de Procesos,Catálogo de Servicios Corporativos,"automatizar,criterios"
Inteligencia artificial,¿Qué es una Model Card?,"Es un documento que describe el objetivo, datos, métricas, limitaciones, riesgos, uso recomendado y monitoreo de un modelo.",Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"model card,modelo"
Inteligencia artificial,¿Por qué se debe comparar con un baseline?,Porque permite comprobar si el modelo realmente mejora una referencia simple y justifica su complejidad.,Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"baseline,métricas"
Inteligencia artificial,¿Qué es grounding en Sol AI?,Es la condición de que las afirmaciones de la respuesta estén respaldadas por los fragmentos recuperados de los documentos.,Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"grounding,rag"
Inteligencia artificial,¿Cómo se evalúa Sol AI?,"Con un banco de preguntas, respuestas esperadas, revisión de fragmentos recuperados, casos sin respuesta, seguridad, claridad y tono.",Inteligencia Artificial,Política de Calidad y Revisión de Entregables,"evaluación,sol ai"
Soporte técnico,¿Cómo contacto a Soporte Técnico?,"Utiliza la Mesa de Soporte o el canal correspondiente. Incluye usuario, herramienta, error, hora, evidencia y pasos ya realizados.",Tecnología y Soporte,Manual de Herramientas Tecnológicas,"soporte,contacto,error"
Soporte técnico,¿Cuál es el tiempo de atención de un acceso bloqueado?,"El tiempo estimado es de hasta dos horas, con prioridad alta.",Tecnología y Soporte,Manual de Herramientas Tecnológicas,"acceso bloqueado,tiempo"
Soporte técnico,¿Qué datos debo incluir al reportar un error de GitHub?,"Incluye repositorio, rama, comando ejecutado, mensaje de error y pasos previos.",Tecnología y Soporte,Manual de Herramientas Tecnológicas,"github,error,soporte"
Soporte técnico,¿Qué datos debo incluir al reportar un error de OCI?,"Incluye instancia o servicio, región, hora, acción realizada y logs disponibles.",Tecnología e Infraestructura,Manual de Herramientas Tecnológicas,"oci,error,logs"
Trabajo con clientes,¿Puedo compartir información de un cliente con otro?,No. La información de cada cliente es confidencial y debe mantenerse separada.,Seguridad de la Información,Política de Seguridad y Protección de Datos,"clientes,confidencialidad"
Trabajo con clientes,¿Quién debe comunicarse con el cliente?,La comunicación principal la gestiona el Project Manager o la persona designada para el proyecto.,Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"cliente,comunicación,pm"
Trabajo con clientes,¿Qué debe proporcionar el cliente al iniciar un proyecto?,"Debe designar un responsable, entregar información y accesos autorizados, explicar el contexto y participar en validaciones.",Consultoría y Gestión de Proyectos,Catálogo de Servicios Corporativos,"cliente,responsabilidades"
Trabajo con clientes,¿Puedo prometer una fecha sin consultar al equipo?,No. Las fechas deben validarse con el Project Manager y el equipo técnico antes de comunicarse como compromiso.,Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"fecha,compromiso,cliente"
Documentación,¿Qué documentos son obligatorios en un proyecto?,"Como mínimo: requerimientos, plan de trabajo, riesgos, decisiones, pruebas, manuales aplicables, acta de entrega y cierre.",Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"documentos obligatorios,proyecto"
Documentación,¿Cómo debo nombrar los archivos?,"Usa nombres claros, consistentes y sin caracteres innecesarios. Incluye versión o fecha cuando ayude a distinguir documentos.",Calidad,Política de Calidad y Revisión de Entregables,"nombre archivos,versión"
Documentación,¿Dónde se guarda la versión oficial?,"En el repositorio o carpeta corporativa definida para el proyecto, con permisos y control de versiones.",Calidad,Política de Calidad y Revisión de Entregables,"versión oficial,documento"
Documentación,¿Puedo dejar la documentación para el final?,No es recomendable. Debe actualizarse durante el desarrollo para mantener trazabilidad y evitar pérdidas de conocimiento.,Calidad,Metodología para la Gestión de Proyectos,"documentar,proceso"
GitHub y código,¿Qué debe incluir un commit?,"Debe describir de forma breve y clara el cambio realizado. Puede usar prefijos como feat, fix, docs, test, refactor o chore.",Tecnología,Manual de Herramientas Tecnológicas,"commit,mensaje,git"
GitHub y código,¿Qué significa chore en un commit?,"Indica una tarea de mantenimiento o configuración que no agrega una funcionalidad principal, como crear carpetas o ajustar dependencias.",Tecnología,Manual de Herramientas Tecnológicas,"chore,commit"
GitHub y código,¿Puedo subir el archivo .env a GitHub?,No. El archivo .env puede contener claves y debe estar incluido en .gitignore. Solo se publica un archivo .env.example sin secretos.,Seguridad de la Información,Manual de Herramientas Tecnológicas,"env,github,secreto"
GitHub y código,¿Qué debo revisar antes de hacer push?,"Revisa git status, confirma que no existan secretos o datos sensibles, verifica los archivos modificados y ejecuta pruebas relevantes.",Tecnología,Política de Calidad y Revisión de Entregables,"push,git status,revisión"
GitHub y código,¿Por qué usamos historial de commits?,"Porque permite rastrear cambios, colaborar, recuperar versiones y demostrar el desarrollo progresivo del proyecto.",Tecnología,Manual de Herramientas Tecnológicas,"historial,commits,trazabilidad"
OCI y despliegues,¿Qué servicio de OCI usará Sol AI?,Sol AI utilizará OCI Compute para ejecutar la aplicación Streamlit en una máquina virtual accesible desde internet.,Tecnología e Infraestructura,Manual de Herramientas Tecnológicas,"oci compute,sol ai,deploy"
OCI y despliegues,¿Qué debo revisar antes de desplegar?,"Verifica dependencias, variables de entorno, puerto, reglas de red, permisos, secretos, logs y funcionamiento local.",Tecnología e Infraestructura,Política de Calidad y Revisión de Entregables,"deploy,checklist,oci"
OCI y despliegues,¿Puedo dejar la API key visible en el servidor?,"No. Debe almacenarse como variable de entorno o secreto protegido, con acceso limitado.",Seguridad de la Información,Política de Seguridad y Protección de Datos,"api key,servidor,oci"
OCI y despliegues,¿Qué evidencia necesitamos del deploy?,Se debe incluir el enlace público o una captura de la aplicación funcionando en OCI dentro del README.,Consultoría y Gestión de Proyectos,Metodología para la Gestión de Proyectos,"evidencia,deploy,readme"
